Year,Economic activity,Female Salary,Male Salary,Female Paid Workers,Male Paid Workers,Salary gap,Women are paid,Absolute gap,Weighted Total
1/1/2023,Wholesale and retail trade; repair of motor vehicles and motorcycles,9601,7965,27679,224180,-1636,more,1636,57551
1/1/2024,Accommodation and food service activities,8306.5,6980.65,19774,63508,-1325.85,more,1325.8500000000004,22709
1/1/2024,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,3033.07,3042.56,100087,65123,9.489999999999782,less,9.489999999999782,4865
1/1/2024,Administrative and support service activities,9610.61,5494.76,23227,124293,-4115.85,more,4115.85,31550
1/1/2024,"Agriculture, forestry and fishing",148.06,4462.85,2,33826,4314.79,less,4314.79,33811
1/1/2024,"Arts, entertainment and recreation",22122.12,23163.24,2885,9487,1041.1200000000026,less,1041.1200000000026,10886
1/1/2024,Construction,14715.76,5982.29,7411,613210,-8733.47,more,8733.470000000001,282041
1/1/2024,Education,24219.85,25048.96,40510,25890,829.1100000000006,less,829.1100000000006,24858
1/1/2024,"Electricity, gas, steam and air conditioning supply",22903.44,25456.07,2662,14992,2552.630000000001,less,2552.630000000001,15741
1/1/2024,Financial and insurance activities,27162.02,29807,8276,16298,2644.9799999999996,less,2644.9799999999996,18659
1/1/2024,Human health and social work activities,19943.33,23075.73,35912,40118,3132.399999999998,less,3132.399999999998,27836
1/1/2024,Information and communication,23675.93,30011.75,5375,17778,6335.82,less,6335.82,18674
1/1/2024,Manufacturing,15729.12,9597.62,2623,110337,-6131.5,more,6131.5,90031
1/1/2024,Mining and quarrying,22665.11,32661.42,5386,43966,9996.309999999998,less,9996.309999999998,40951
1/1/2024,Other service activities,8567.3,11357.47,4774,10875,2790.17,less,2790.17,10192
1/1/2024,"Professional, scientific and technical activities",15202.22,16441.22,4519,28561,1239.0000000000018,less,1239.0000000000018,25681
1/1/2024,Public administration and defence; compulsory social security,27314.33,31936.42,22477,83667,4622.0899999999965,less,4622.0899999999965,60389
1/1/2024,Real estate activities,21832.38,14873.11,1960,16527,-6959.27,more,6959.27,17145
1/1/2024,Transportation and storage,18462.91,12080.75,16182,99434,-6382.16,more,6382.16,53074
1/1/2024,"Water supply; sewerage, waste management and remediation activities",19146.57,23238.52,479,7021,4091.9500000000007,less,4091.9500000000007,7266
1/1/2024,Wholesale and retail trade; repair of motor vehicles and motorcycles,9828.87,7983.47,25914,207289,-1845.4,more,1845.4000000000005,56334
1/1/2025,Accommodation and food service activities,8411.95,7041.73,24581,77710,-1370.22,more,1370.2200000000012,23843
1/1/2025,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,3037.92,3042,124850,81280,4.079999999999927,less,4.079999999999927,4899
1/1/2025,Administrative and support service activities,9469.15,5563.78,28078,147679,-3905.37,more,3905.37,32327
1/1/2025,"Agriculture, forestry and fishing",101.59,4533.86,9,41814,4432.2699999999995,less,4432.2699999999995,41731
1/1/2025,"Arts, entertainment and recreation",22421.79,23015.9,3676,12425,594.1100000000006,less,594.1100000000006,13802
1/1/2025,Construction,14905.88,6035.51,9461,746551,-8870.37,more,8870.369999999999,299864
1/1/2025,Education,24345.45,25186.93,50067,31719,841.4799999999996,less,841.4799999999996,26813
1/1/2025,"Electricity, gas, steam and air conditioning supply",22958.17,25605.03,3416,19635,2646.8600000000006,less,2646.8600000000006,20026
1/1/2025,Financial and insurance activities,27164.09,30080.9,10446,20315,2916.8100000000013,less,2916.8100000000013,22080
1/1/2025,Human health and social work activities,20192.68,23186.95,43229,48216,2994.2700000000004,less,2994.2700000000004,29976
1/1/2025,Information and communication,24077.06,30159.37,6840,22277,6082.309999999998,less,6082.309999999998,22610
1/1/2025,Manufacturing,15770.19,9641.22,3469,139709,-6128.97,more,6128.970000000001,106914
1/1/2025,Mining and quarrying,22872.11,32517.93,7369,62979,9645.82,less,9645.82,55569
1/1/2025,Other service activities,8701.67,11359.24,6323,14060,2657.5699999999997,less,2657.5699999999997,12144
1/1/2025,"Professional, scientific and technical activities",15383.87,16579.33,5805,36779,1195.460000000001,less,1195.460000000001,31231
1/1/2025,Public administration and defence; compulsory social security,27341.08,32119.33,28094,103672,4778.25,less,4778.25,68058
1/1/2025,Real estate activities,21841.66,15065.18,2508,20753,-6776.48,more,6776.48,20908
1/1/2025,Transportation and storage,18584.79,12328.23,19995,118522,-6256.56,more,6256.560000000001,56701
1/1/2025,"Water supply; sewerage, waste management and remediation activities",19427.64,22949.15,732,9528,3521.510000000002,less,3521.510000000002,9834
1/1/2025,Wholesale and retail trade; repair of motor vehicles and motorcycles,9878.38,8007.55,32489,253677,-1870.83,more,1870.829999999999,58086
1/1/2026,Accommodation and food service activities,8574.26,7132.74,22651,69966,-1441.52,more,1441.5200000000004,23277
1/1/2026,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,3067.14,3068.43,107400,71007,1.2899999999999636,less,1.2899999999999636,4954
1/1/2026,Administrative and support service activities,9475.24,5752.96,26456,134706,-3722.28,more,3722.2799999999997,31843
1/1/2026,"Agriculture, forestry and fishing",76.81,4643.93,8,38015,4567.12,less,4567.12,37950
1/1/2026,"Arts, entertainment and recreation",23007.74,23103.4,3585,11564,95.65999999999985,less,95.65999999999985,13101
1/1/2026,Construction,15190.11,6131.78,8936,612427,-9058.33,more,9058.330000000002,258234
1/1/2026,Education,24829.29,25533.65,45487,29499,704.3600000000006,less,704.3600000000006,26508
1/1/2026,"Electricity, gas, steam and air conditioning supply",23403.36,26134.35,3265,17690,2730.989999999998,less,2730.989999999998,18325
1/1/2026,Financial and insurance activities,27592.47,30905.06,9899,18883,3312.59,less,3312.59,20996
